gene,avg_log2FC,padj
AC245297.3,-3.76008753972519,1.09502640548902e-137
LY9,-1.67172786979552,1.51543570145489e-137
MTRFR,4.3609414310159504,6.41913132780689e-137
VAMP2,-0.826004461603327,3.7569074265169e-136
GIMAP2,-1.25026062376342,1.20337265412883e-135
GPR183,1.49624241287391,2.3062063244631798e-135
CPNE1,-1.15313550857639,3.38985323101041e-135
DCTN6-DT,5.41975191752514,4.14825798922707e-134
C12orf10,-3.68830659083484,1.1608934610724397e-133
HK2,-3.85457207085412,4.633112836181589e-133
SKIC8,4.9354059204707,8.40122012969519e-133
LARS,-3.7664018378721,2.4372721940221295e-132
HYCC2,4.88369185291512,4.6740042856637095e-132
BTN3A2,-1.36266740040288,5.1815240719673295e-132
CIB1,0.953471663302178,6.62803517722005e-132
ZNG1A,6.00769719091593,1.1249062828492799e-131
SFXN1,-1.41366886378714,2.2056180690175797e-131
H2AC6,4.39274653698412,6.853869474684679e-131
P2RY8,0.959403834211277,2.50263981717979e-130
TAZ,-3.56890511877305,1.68261863185394e-129
SNHG7,-0.733049012080593,1.97734828193726e-129
H2AFJ,-4.86306131489275,3.68609464860196e-129
CLPP,-1.39800853770234,3.7969219205665396e-129
TAF1D,-1.08391888499582,6.92734102880817e-129
SDHAP1,5.28751422936687,1.11631577878773e-128
NARF,-1.42456093299002,2.58075612248863e-128
PLEC,1.78125054307183,1.2755850679219899e-127
FGF11,-9.12239433859409,1.96989483012961e-127
GZMM,-1.07549539350666,2.08173523541439e-127
ZNG1E,5.90701515003985,1.32107358549871e-126
PRKCQ-AS1,-1.13736644505209,1.27442893003753e-125
PLCL1,1.02281068618468,1.46068786384771e-124
ENSG00000291037,5.01243953100431,8.822527281211499e-124
DYNC2I1,5.22403366291407,1.65143172687577e-123
DARS1,3.79562164943666,2.30840646967759e-123
MPI,-2.17940974898786,3.87689506251454e-123
AL133415.1,-6.04129639268783,8.29909755466831e-123
TMEM63A,-1.54534401495834,3.8066815344036895e-122
EFHD2,2.00717405915865,8.41948909163242e-122
LINC03049,5.86523476584316,8.865137422673438e-121
ADPRS,4.54451343582807,1.3233166875895e-120
MT-ND2,0.613284082668598,1.62399616573535e-120
PRKCH-AS1,4.96013261875429,2.2022024147141396e-120
ENSG00000284707,4.50597040112845,8.44171117022603e-120
ANXA2R,-1.0983458536004,1.23120985206094e-119
ENSG00000279168,6.76782213594047,1.28487648209476e-119
NREP,-1.91394251552536,5.71927279501189e-119
BLTP1,4.5155692495198,7.92346843903692e-119
AC025164.1,-4.29017442047736,2.4365664902920096e-118
SNHG1,-1.27434536443579,2.6050861883875396e-118
RASGEF1B,2.26512462058821,7.8050090830114285e-118
ENSG00000289614,3.84767476025262,1.5640637452444699e-117
HARS1,4.28512208113096,3.4357182289404295e-117
TBC1D22A-DT,5.26015396580738,4.487049621206359e-117
FAM207A,-4.48736033884107,5.608967896334249e-117
RPS20,0.744969817598881,1.83369193412249e-116
TARS,-3.62098102266944,3.7901836625463096e-116
