"","CP002-entry","CP003-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP022-entry","CP042-entry"
"KIR3DL1",0.0124534503670682,0,0.00609040796819571,0.0618209583893686,0.0041802682351756,0.0405627032324358,0.0779257281580038,0.00409094646202313
"SLAMF7",0,0.00923944827103487,0,0,0,0,0,0
"CD99",52.9913701980739,1.03872049875615,1.41178296138971,0.989150471543335,0.294958900663265,0.264646930668387,5.56633301085508,0.23705243622309
"CLEC12A",0.195517028335887,0.0967138607260538,0.190082985315744,2.37890473575503,0.132481920836119,0.0642941026328305,0.033237378904803,0.394026226199401
"SLAMF6",0.0326299541433143,0.0223063364467169,0.000453040235949303,0.0287443520745933,0.015364898327538,0.0294192509992921,0,0.00467693027233454
"KLRD1",0.0025725657916518,0.184180491639818,0.0148175556520471,8.20982342494785,0.0460272627142185,0.25193051860817,0.00288309439412771,0.14516815244786
"IGKC",0,0.00107562486619528,0.0339034503895508,0.00590574275827024,0.00598422042434806,0,0,0
"LILRB1",0,0,0,0,0,0,0,0
"FCER2",0,0.00998203419805688,0,0,0.00364469617546965,0,0,0
"Human-Ig",0.0715995305696008,0,0.0395248113620712,0.000929132793188498,0.0102123745599841,0,0,0
"SIGLEC7",0.494990097063411,0.130734107789581,1.95275566984201,2.25917169545551,41.0597670496226,0.328679803757932,3.01642423217298,0.415597056181404
"ADGRG1",0.0871108823062334,0.0611599318775289,0.0682179949837338,0,0.0541126240259005,0.0987954349185648,0.0262436513236456,0.0205724026782941
"HLA-E",0,0,0,0.0079644523716896,0.00290959310271841,0.00727088819095483,0.0202740095298416,0
"CD82",0.0660075888762208,0.00696419897857247,0,0,0.000577915085667541,0.00279437213104594,0,0
"CD101",0,0.00880575855110072,0.0946784603199885,0,0,0.0315089595982757,0.0827801302458538,0.02963509752166
"C5AR1",0.0229494195099117,0.00704481494911091,0,0,0,0,0,0.00149244122221855
"GGT1",0,0.00523479476383494,0,0.00139110713320392,0,0,0,0
