"","CP002-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"CD2",8.70323002066266,0.880406036417039,839.067908559689,0.324992908626497,1.3144815942805,0.122123351488453,2.97968899733771,3.36297098118791,2.68933705298763
"CD226",0,0,0,0,0,0,0.000247720827131351,0,0
"ITGB1",0.341680103720362,0.190398953331004,0.0918263641552165,0.044850953851646,0.163686402605464,0.53799818789942,0.337222876622876,0.100619669522726,0
"CLEC4C",0.120093408581281,0.0100684728567517,0.33891163039497,0.0180696810362045,0.0684737211822917,0.944151984643447,0,0.0648552278412936,0.0046991234750469
"ITGA2",0,0.00243585863794261,0.003034895161857,0.0171708569900572,0.0239353124477398,0,0.000290864390156149,0.025214687059909,0
"CD81",0.03450909427846,0.0102773976213743,0.0666025993141554,0.0146783126324948,0.0263557765497765,1.87818131836209,48.9521860548076,0.110384825924906,0.00234128251494843
"IGHD",4214.27337831611,2866.97361184281,2175760974.41647,2839.41642298003,2339.42739701404,154240393.094341,1167074.08470567,24654.9405173563,19723.4796697558
"ITGB2",6.82664503251854,2.46729933258183,355974.767300151,3.04662789948292,13.3205254701997,33876.1398795756,3.01818910341117,60.1348898223547,7.83385434996277
"CD28",0.0114886466176684,0,0.0180627883463856,0.00650596748032399,0,0.100626688376385,0.0317040903756066,0.00260219801821591,0.0877930830765128
"CD38",19.9998132819619,11.8785886357391,856.33421154897,10.2074151898977,16.4222993839386,160.603554822622,31.0526484355375,9.42795559810552,3.57067912562194
"IL7R",0.00170101064430228,0.00831624117483536,0.0685305951025622,0.00560361456904629,0.00294200499135284,0,0.0224143000173612,0.0169866250770392,0.074596811283828
"CD45",17.8449785277379,5.92522939435324,193.836702318498,3.84341117033794,14.6589645753529,94.4443886774656,14.462421167234,7.44954994865138,4.96766965908117
"CD22",79016432.7562353,295.513657606318,2470368.80921146,356852.622185167,28857.2829014876,803177405.889138,767958.900476741,1605728940.73931,8143223.9658415
"TFRC",26.1541959434748,24.0121498918031,653.585283572689,25.8587665604678,54.625073494724,827.164885177314,5.07686930411104,10.5236205200115,224.385356396722
