"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"GPKOW",0.671660271381414,-0.0586052084357873,0.084,0.075,1,"15: NK cell_1"
"RCC2",0.583629371477049,-0.0585668938703214,0.13,0.124,1,"15: NK cell_1"
"TSC22D3",0.206302019748091,-0.0585621826842688,0.425,0.409,1,"15: NK cell_1"
"SMARCE1",0.669564619183632,0.0584846059732943,0.305,0.28,1,"15: NK cell_1"
"OSER1",0.102499303389799,0.058480839296346,0.179,0.156,1,"15: NK cell_1"
"SEC13",0.856126094444449,0.0584616932512916,0.271,0.25,1,"15: NK cell_1"
"AC087239.1",0.695941879434485,0.0583935653459227,0.028,0.027,1,"15: NK cell_1"
"PPP4R3A",0.535728701639013,0.058326270689779,0.289,0.27,1,"15: NK cell_1"
"ASXL1",0.639320212175354,-0.0583252279817498,0.219,0.209,1,"15: NK cell_1"
"CPSF3",0.687399949609054,0.0583179380260517,0.097,0.088,1,"15: NK cell_1"
"MIAT",0.313127142191189,0.0583062944127906,0.07,0.061,1,"15: NK cell_1"
"TMSB10",0.00228618990375788,-0.0582687495966967,0.988,0.997,1,"15: NK cell_1"
"LBX2",0.714768307256526,0.0582561816922964,0.019,0.019,1,"15: NK cell_1"
"NSUN4",0.667499324249794,-0.0582529047517926,0.035,0.037,1,"15: NK cell_1"
"RANGAP1",0.0676789061626502,0.0581993143259778,0.123,0.102,1,"15: NK cell_1"
"PRPF4B",0.978644171461001,0.0581864271503408,0.362,0.331,1,"15: NK cell_1"
"AXIN1",0.896882228913431,-0.0581528310926663,0.249,0.235,1,"15: NK cell_1"
"DCTN1",0.579109005438463,0.0581385542476214,0.158,0.135,1,"15: NK cell_1"
"RNF216P1",0.341740780557146,0.0581314564326769,0.07,0.056,1,"15: NK cell_1"
"C11orf71",0.991055053800227,0.0581299344412907,0.04,0.037,1,"15: NK cell_1"
"RPS24",0.130929799108593,-0.0581260321609118,0.979,0.98,1,"15: NK cell_1"
"LYPLA1",0.308249574571255,0.0580864015358046,0.226,0.199,1,"15: NK cell_1"
"LCP2",0.0846718899665991,0.058081110736337,0.622,0.566,1,"15: NK cell_1"
"C9orf85",0.928378097016375,-0.0580306109586157,0.071,0.07,1,"15: NK cell_1"
"RNF114",0.237909790151156,-0.0580126810702937,0.218,0.209,1,"15: NK cell_1"
"TUG1",0.259087009914908,0.0580032005492201,0.073,0.063,1,"15: NK cell_1"
"FHOD1",0.783234998745168,-0.0579987521605201,0.098,0.093,1,"15: NK cell_1"
"WWP2",0.908493024978773,-0.0579977317314937,0.15,0.142,1,"15: NK cell_1"
"DNAJC27",0.348309736791527,0.0579948684380054,0.05,0.042,1,"15: NK cell_1"
"BORA",0.885791230622621,0.0579734035497905,0.027,0.024,1,"15: NK cell_1"
"LARP4B",0.56526414087714,-0.0579685994279274,0.224,0.206,1,"15: NK cell_1"
"EOGT",0.742618200449036,0.0579501148391728,0.038,0.031,1,"15: NK cell_1"
"TBRG1",0.694499497274713,-0.0579189222311509,0.347,0.335,1,"15: NK cell_1"
"MINDY3",0.054379188036252,0.0578739985922121,0.103,0.086,1,"15: NK cell_1"
"SAMHD1",0.572674549349196,0.0578335300579925,0.351,0.336,1,"15: NK cell_1"
"MAPKAPK2",0.797605224369131,-0.0578093114517229,0.282,0.273,1,"15: NK cell_1"
"ZNF761",0.890411333963075,-0.0577898975316322,0.053,0.051,1,"15: NK cell_1"
"ADAMTSL4-AS1",0.639532944129721,0.0577754084825419,0.03,0.027,1,"15: NK cell_1"
"UBTF",0.97688030866686,0.057734247050443,0.24,0.222,1,"15: NK cell_1"
"APPL2",0.409545361028445,0.0577252248164624,0.151,0.129,1,"15: NK cell_1"
"HMGCL",0.687710447208113,-0.0577133778790646,0.068,0.071,1,"15: NK cell_1"
"SETBP1",0.213822277392318,0.0576985118650993,0.153,0.127,1,"15: NK cell_1"
"CD2",0.459438178511956,-0.0576760275576506,0.254,0.243,1,"15: NK cell_1"
"BANP",0.533118738584129,-0.0576608104070755,0.221,0.218,1,"15: NK cell_1"
"TUBB2A",0.732703005618663,-0.057641109824174,0.012,0.011,1,"15: NK cell_1"
"PPM1K",0.912969657513608,-0.0576371175525228,0.236,0.225,1,"15: NK cell_1"
"NOTCH2NLA",0.625697038027179,0.0576131995414251,0.041,0.038,1,"15: NK cell_1"
"DMTF1",0.634767696138627,-0.0575875785042307,0.182,0.18,1,"15: NK cell_1"
"POR",0.934858741819465,0.0575859948263067,0.126,0.113,1,"15: NK cell_1"
"SMARCC1",0.286272096230705,-0.0575838683063262,0.269,0.253,1,"15: NK cell_1"
"ENY2",0.178365752582934,0.0575811989150883,0.318,0.279,1,"15: NK cell_1"
"PLCG1-AS1",0.596467096235696,-0.0575447955173196,0.012,0.01,1,"15: NK cell_1"
"IDH3B",0.782473188672004,-0.0575000642007181,0.162,0.16,1,"15: NK cell_1"
"SLC36A4",0.272133617076463,0.0574872557752284,0.098,0.083,1,"15: NK cell_1"
"ERICH1",0.996344552460045,0.0574662258975924,0.216,0.203,1,"15: NK cell_1"
"CNEP1R1",0.759312092022152,-0.0574458843124188,0.058,0.058,1,"15: NK cell_1"
"RBCK1",0.573248781253544,0.0574389691046587,0.334,0.303,1,"15: NK cell_1"
"RPL9",0.0129837300923558,-0.0573900242643424,0.868,0.845,1,"15: NK cell_1"
"TULP4",0.877412422815123,0.0573642823641402,0.155,0.142,1,"15: NK cell_1"
"SDF2L1",0.627823199563238,-0.0573570405730208,0.154,0.154,1,"15: NK cell_1"
"UBE2N",0.54707948838017,0.0573376249084699,0.268,0.237,1,"15: NK cell_1"
"VCP",0.516098876360382,0.0572655379132722,0.476,0.427,1,"15: NK cell_1"
"FASTKD2",0.2478253196103,-0.0571984352672747,0.061,0.067,1,"15: NK cell_1"
"LCMT2",0.795475346776766,-0.0571910273126388,0.013,0.014,1,"15: NK cell_1"
"FAM210A",0.524168746768611,-0.0571811084528999,0.08,0.084,1,"15: NK cell_1"
"C1orf112",0.846357140170969,0.0571625990768831,0.035,0.031,1,"15: NK cell_1"
"ZDHHC17",0.240934733996532,0.0571341313395846,0.092,0.077,1,"15: NK cell_1"
"AC067945.3",0.511845696622655,0.0571309930019996,0.013,0.014,1,"15: NK cell_1"
