"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"VPS37B",4.9130249509617e-06,0.368050982969661,0.625,0.413,0.110130367300757,"27: GZMK+ CD8 T cell"
"NELL2",5.46002001186963e-06,-1.39678697770514,0.151,0.229,0.12239180858607,"27: GZMK+ CD8 T cell"
"RPS21",5.63266687737926e-06,-0.213998134703112,0.996,0.998,0.126261860723333,"27: GZMK+ CD8 T cell"
"RPS16",5.81731727530447e-06,-0.294665334555459,0.971,0.959,0.130400984043225,"27: GZMK+ CD8 T cell"
"RPLP2",6.54499906996791e-06,-0.165723314669133,1,0.983,0.146712699152401,"27: GZMK+ CD8 T cell"
"RALGAPA1",6.89245835973159e-06,0.325345700100095,0.721,0.51,0.154501346591743,"27: GZMK+ CD8 T cell"
"RORA-AS1",7.03760580534788e-06,0.422412005919616,0.213,0.103,0.157754971732678,"27: GZMK+ CD8 T cell"
"TPI1",7.21821435204016e-06,-0.648909038063093,0.68,0.705,0.161803492915332,"27: GZMK+ CD8 T cell"
"LINC01578",7.29911250178115e-06,-1.02875659080483,0.246,0.367,0.163616905839926,"27: GZMK+ CD8 T cell"
"RPS25",7.62677131175096e-06,-0.229859189802335,0.996,0.996,0.17096170572421,"27: GZMK+ CD8 T cell"
"IFI6",7.69374400682776e-06,0.852962871260158,0.643,0.4,0.172462965657051,"27: GZMK+ CD8 T cell"
"H3-3A",7.8930051395888e-06,0.354302919873155,0.68,0.519,0.176929603209023,"27: GZMK+ CD8 T cell"
"TMEM244",7.9311097088608e-06,1.92435379419352,0.081,0.017,0.177783755233824,"27: GZMK+ CD8 T cell"
"RPL18A",8.46730303114079e-06,-0.252763959994442,1,0.999,0.189803064746052,"27: GZMK+ CD8 T cell"
"SLA2",8.47078020192087e-06,0.358792476521071,0.743,0.534,0.189881009006258,"27: GZMK+ CD8 T cell"
"EPB41",8.81055175961127e-06,-0.352071017193479,0.757,0.705,0.197497328243446,"27: GZMK+ CD8 T cell"
"SORL1",9.26687480694552e-06,-1.65687357558296,0.066,0.158,0.207726265672491,"27: GZMK+ CD8 T cell"
"ENO2",9.48512674420924e-06,-1.58092554188089,0.129,0.209,0.212618601098194,"27: GZMK+ CD8 T cell"
"SAMD3",9.79954798518393e-06,0.441183758136523,0.794,0.604,0.219666667635883,"27: GZMK+ CD8 T cell"
"GRAP2",9.9156851295108e-06,0.569529585035305,0.684,0.499,0.222269997863114,"27: GZMK+ CD8 T cell"
