"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SMC2",0.701714203583067,0.0673983187169247,0.084,0.072,1,"3: IL2RB+ NK cell"
"SLC27A1",0.438934052541023,-0.0673627568375155,0.024,0.024,1,"3: IL2RB+ NK cell"
"TBCCD1",0.662585585031988,0.0672589404994595,0.077,0.065,1,"3: IL2RB+ NK cell"
"NDUFS2",0.498203923553181,-0.06721748419498,0.389,0.367,1,"3: IL2RB+ NK cell"
"SCOC",0.117872338716606,-0.0671907063721138,0.125,0.122,1,"3: IL2RB+ NK cell"
"ATP5PD",0.172056705693375,-0.0671296728163296,0.387,0.371,1,"3: IL2RB+ NK cell"
"SEPSECS",0.786491157980521,0.0671276568315968,0.058,0.049,1,"3: IL2RB+ NK cell"
"ARAF",0.33647019363548,0.0671041104782656,0.214,0.182,1,"3: IL2RB+ NK cell"
"DIAPH1",0.0973043788432476,0.0670938431555186,0.432,0.377,1,"3: IL2RB+ NK cell"
"COQ8A",0.964293621991072,0.0670789669251273,0.119,0.106,1,"3: IL2RB+ NK cell"
"KAT5",0.685664953207464,0.0670554277512081,0.161,0.139,1,"3: IL2RB+ NK cell"
"ETNK1",0.437976162535321,0.0670473635800642,0.303,0.259,1,"3: IL2RB+ NK cell"
"CROCC",0.330424573080267,-0.0670400118449188,0.083,0.081,1,"3: IL2RB+ NK cell"
"RBFA",0.234830619893724,-0.0669932448072101,0.065,0.062,1,"3: IL2RB+ NK cell"
"PRR5",0.537566341053103,-0.0669739410494739,0.144,0.133,1,"3: IL2RB+ NK cell"
"ECD",0.0590861290760655,0.0669737368356569,0.166,0.138,1,"3: IL2RB+ NK cell"
"TRGV5",0.914798248766901,0.0669390135214449,0.012,0.01,1,"3: IL2RB+ NK cell"
"CCDC91",0.163577496712273,0.0669091015810067,0.26,0.22,1,"3: IL2RB+ NK cell"
"GFPT1",0.688343828599104,0.0668950044794598,0.138,0.116,1,"3: IL2RB+ NK cell"
"ZRANB2",0.868017723782494,-0.06688731283006,0.444,0.416,1,"3: IL2RB+ NK cell"
"GPATCH1",0.786161451950408,0.0668840860435318,0.046,0.04,1,"3: IL2RB+ NK cell"
"WDR82",0.158532916072778,0.0668608562163715,0.272,0.239,1,"3: IL2RB+ NK cell"
"UBN2",0.583375429309812,0.0668588916302337,0.104,0.087,1,"3: IL2RB+ NK cell"
"PTPRCAP",0.300485985982059,-0.0668587166283314,0.513,0.525,1,"3: IL2RB+ NK cell"
"ASXL1",0.966198691078848,0.0668328726007605,0.275,0.241,1,"3: IL2RB+ NK cell"
