"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"TOX2",0.2142,0.5814,0.2412,0.082,0.0256,0.0429,0.1099,0.0696,0.0967,0.4747,0,0.8067,0.5481,0.1088,0.516,0.1338,0.6732,0.1078,0.0023,0.7123,0.1788,0.0796,0.3585,0.901,1,0.2973,0.4058,0.548,0.0859,0.8894,0.1451
"TUBB1",0.0381,0.0433,0.0109,0.0343,0.0301,0.0929,0.0689,0.0906,0.0969,0.0815,1,0.0582,0.0235,0.0235,0.0246,0.0384,0.0298,0.0063,0.1492,0.3094,0.0575,0.0995,0.0253,0.0768,0.2383,0.0321,0.0048,0.0559,0,0.0762,0.2905
"MX1",0.7285,0.1552,0.2021,0.4554,0.3745,0.3593,0.3202,0.4258,0.5042,0.2508,0.0829,0.6873,0.1254,0.1956,0.184,0.1487,0.1724,0,0.5777,1,0.2636,0.531,0.3669,0.4614,0.2062,0.3907,0.119,0.4631,0.0638,0.4754,0.3176
"IGLC2",0.1903,0.0012,0.0014,3e-04,0,0.0023,0,0.0015,5e-04,0.2659,0.0027,0,2e-04,2e-04,8e-04,0,2e-04,0,1e-04,1,0.2558,3e-04,0,0.001,0.1261,0.341,2e-04,0,0.0012,0,0
"XBP1",0.5321,0.3692,0.8333,0.6178,0.5944,0.4746,0.8175,0.2438,0.3729,0,0.1455,0.2363,0.4651,0.2588,0.3689,0.2717,0.4695,0.3574,0.1591,1,0.0209,0.3158,0.0723,0.4742,0.1342,0.0169,0.3568,0.4976,0.7717,0.3928,0.6026
"IL3RA",0.0192,0.0053,0.0028,8e-04,0.0012,0.0043,0.0028,0.4734,0,0.0976,0.3548,0.0035,0.0016,0.0023,0.0029,0.0034,0.0026,8e-04,0.4687,1,0.1017,0,5e-04,0.0042,0.0496,0.0635,0.0015,0.0012,4e-04,0.0037,0.0013
"FOXP3",4e-04,0.0588,0,6e-04,0.0028,2e-04,0.001,0.0029,0,5e-04,0,0.0072,0.0056,0.0011,0.0278,0.0058,0.0086,7e-04,3e-04,0,0.0014,0.002,0.0054,0.0608,0,5e-04,0.0131,1,0.0033,0.008,0.0032
"ALAS2",0.6154,0.0637,0.1168,0.3681,0.0456,0.1998,0.4029,0.2562,1,0.222,0,0.1965,0.0327,0.0662,0.0352,0.0769,0.0846,0.1743,0,0.5273,0.1777,0.1883,0,0,0,0.2029,0.1395,0.2339,0.672,0.0371,0.2545
"MARCO",0,0,0.0057,0.0013,0,0.0055,0,0.8581,0,0,1,0,0,0,0,0,0,0,0.5377,0,0,0,0,0,0,0,0,0,0,0,0
"SLC4A10",0.0118,0.0127,0.1379,0.0516,0.0067,0.0261,0.0516,0.0173,0.0165,0.0086,0.0028,0.0103,0.0124,0.0081,0.0159,0.0125,0.0085,0.0088,0.0084,0,0.0129,0.021,0.0275,0.0193,0.0566,0.0104,0.0145,0.0204,0.0145,0.0185,1
"CSF2",0.1084,0.003,0.3244,0.0235,0,0.0237,1,0.3435,0,5e-04,0.0032,0,0.0018,0.0037,0.0015,0.0042,0.0016,0.0041,0,0,8e-04,0,0,0,0,0.0049,0.002,0,0.006,0.0032,0
"RORC",0.0013,0.0095,0.0114,0,0,0,0.6622,0.0016,0.0185,0,0,0.0106,0.0032,0.0018,0.0038,0.0028,0,0.0012,0,0,0,0.0043,0.0082,0.1062,0,0,0,0.0101,0,0.0112,1
"GYPA",0.0378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B3GAT1",0,0,0.0182,0.1452,0.4979,0.5043,0.0218,0.0016,0.9805,0.0047,0,0.0249,0,0,0,0.0131,0.0051,0,0.0092,0,0,1,0.1493,0.016,0,0,0,0,0.035,0,0.0665
"IGHG1",0.0258,0,2e-04,3e-04,6e-04,4e-04,0,3e-04,1e-04,0.0219,2e-04,0,0,1e-04,1e-04,0,0,1e-04,5e-04,1,0.0076,2e-04,4e-04,0,0.0188,0.0092,0.0187,0,0,2e-04,0
"GP9",0.0286,0,0,0.0382,0.0312,0.0707,0,0.0838,0.0526,0.0677,1,0.0769,0.0076,0.0091,0.023,0.0104,0.0132,0.006,0.189,0.4628,0.0409,0.1007,0,0.0831,0,0.0377,0,0.0164,0,0.018,0.3946
"TREML1",0.0456,0.0586,0,0.0327,0.0182,0.0491,0,0.0682,0.0432,0.0336,1,0,0.0315,0.0053,0.0085,0.0351,0.0091,0,0.1203,0.2783,0.0174,0.1148,0.0954,0.027,0,0,0,0.0299,0,0,0.1354
"ITGA2B",0,0.0275,0.0265,0.0301,0.0182,0.0487,0.0413,0.141,0.0961,0.0582,1,0.0859,0.0201,0.0304,0.025,0.0228,0.022,0,0.0946,0.2054,0.1235,0.1374,0.1123,0.036,0,0.0437,0.0069,0,0,0.1114,0.1281
"FCER1A",0,0,0,0,0,0,0,0.2811,0,0,0.2696,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
