"CD45RO","FAS","annotation","plot_group","source","facet"
0.143124173498177,0.733730338645106,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.172570316479256,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,1.74515126519954,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,0.837854449723622,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,0.694482412798523,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,2.1318836164912,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,2.71031184908428,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.85772943548083,0.260475662394823,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
3.05375849601886,0.901655055293832,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.323888013412302,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.799585309756013,2.4996822202632,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.2883914891619,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.389489561209259,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.0199047438033615,"Tscm CD8","Tscm CD8","1","Source cluster 1"
1.23675842381046,0.831071539260047,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.819158203527985,1.0942887355299,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.08234833830027,1.69566810384068,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.365882568987886,1.99634762233356,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.951398951633811,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.654242419643695,0.726534225639187,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.54148997490745,1.03506720519499,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.793546280560756,1.99530142847107,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,1.72333191790476,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.394496793232882,1.27882593364054,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.542808837840018,0.764499192628973,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0660118401010337,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.757663386189916,1.4316603783765,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.464030015710961,1.5234900387214,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.824157505308785,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.6020676145364,0.783989498928865,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
1.56232360518344,1.21340500265453,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.95606461256976,1.03452691923196,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.28532073740353,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
